Woord/Uitdrukking	More	Voorbeeldzin	Example
Aanmerking, de		De professor maakte een aanmerking over mijn werk.	
Bedrag (het)		Het bedrag van de factuur is 100 euro. Een groot bedrag tijd en moeite is geïnvesteerd in dit project.	The amount of the invoice is 100 euros. A great amount of time and effort has been invested in this project.
Bedragen	bedroeg, bedroegen; H bedragen	De totale kosten bedragen 200 euro. De wachttijd bedraagt twee uur. Het totale bedrag heeft 1000 euro bedragen.	The total costs amount to 200 euros. The waiting time is two hours. The total amount was 1000 euros.
Berekening, de		De berekening van de oppervlakte van de cirkel is eenvoudig. Zijn beslissing was gebaseerd op een koude berekening.	The calculation of the area of the circle is simple. His decision was based on cold calculation.
Beschikbaar		De nieuwe software-update is vanaf volgende week beschikbaar voor alle gebruikers.	available
Beschikken (over)	beschikte, beschikten; H beschikt	Hij beschikt over een groot vermogen. Zij beschikt over uitstekende communicatieve vaardigheden. Dit kantoor beschikt over moderne apparatuur.	He has a large fortune at his disposal. She is endowed with excellent communication skills. This office is equipped with modern facilities.
Blijken	bleek, bleken; Z gebleken	Uit onderzoek blijkt dat sporten gezond is. Het blijkt een vergissing te zijn. Het is gebleken dat hij gelijk had. Hij bleek heel behulpzaam te zijn.	Research shows that doing sports is healthy. It turned out to be a mistake. It turned out that he was right. He proved to be very helpful.
Bowden	bouwde, bouwden; H gebowd	Mijn onderzoeks- en onderwijsdomein is Robotica. Ik bouw robots en leer anderen hoe ze te bouwen.	
Geheugen, de		Slecht geheugen is een gangbare uitdrukking en betekent dat je moeite hebt om dingen te herinneren of dat je geheugen niet goed werkt.	gangbare = common
Mening, de 		Iedereen heeft recht op zijn eigen mening, maar we moeten elkaars mening respecteren.	
Oplopen	liep op, liepen op; H/Z opgelopen	De kosten lopen snel op. Hij heeft een flinke schuld opgelopen. Ze liep een verkoudheid op. Hij liep ernstige verwondingen op bij het ongeluk.	The costs are rising quickly. He has incurred a significant debt. She caught a cold. He sustained serious injuries in the accident.
Stel	stelde, stelden; H gesteld	Stel dat het morgen regent, wat doen we dan? Hij stelt altijd de juiste vragen tijdens de vergadering.	Suppose it rains tomorrow, what will we do then? He always poses the right questions during the meeting.
Uitdrukking, de		In het Italiaans zijn er veel verschillende uitdrukkingen om hetzelfde te zeggen.	
Voorstel, het		Het voorstel werd goedgekeurd door de vergadering.	The proposal was approved by the assembly.
Voorstellen	stelde voor, stelden voor; voorgesteld	Hij wil een nieuw idee voorstellen tijdens de vergadering.	He wants to propose a new idea during the meeting.
Zoiets	onbepaald voornaamwoord	Ik heb nog nooit zoiets gezien. Ik heb nog nooit zoiets moois gezien.	I have never seen anything like it. I have never seen anything so beautiful.
